Rule_ID,Rule_Name,Apartment_ID,Description,Conflict_Type,Status,Reasoning,,,,,,
R_ST,Night Energy Saver,A1,Turns off the camera smart plug when energy-saving mode is enabled.,Logical,Conflicted,Conflicted with R_HA: one rule turns the camera smart plug OFF for energy saving while the other requires the camera ON/recording for night surveillance.,,,,,,
R_HA,Night Surveillance,A1,"In Away mode at night, ensures camera is powered and starts recording.",Logical,Conflicted,Conflicted with R_ST: one rule turns the camera smart plug OFF for energy saving while the other requires the camera ON/recording for night surveillance.,,,,,,
R_A2_LR_1,Living Room Motion Lighting,A2,Turns on the living room light when motion is detected in the evening.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A2_BR_1,Bedroom Heater Night Comfort,A2,Turns on the bedroom heater during sleep time when temperature is low.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A2_ENT_1,Entrance Welcome Light,A2,Turns on the entrance light when the apartment is occupied in the evening.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A2_ENT_2,Smoke Response Lighting,A2,Turns on the entrance light when smoke is detected.,Semantic,Conflicted,"Conflicted with R_A2_ENT_3: smoke response turns the entrance light ON, which triggers auto-locking of the entrance door during a fire/smoke event, creating an unsafe exit condition.",,,,,,
R_A2_ENT_3,Entrance Security Auto Lock,A2,Locks the entrance door when the entrance light turns on.,Semantic,Conflicted,"Conflicted with R_A2_ENT_2: smoke response turns the entrance light ON, which triggers auto-locking of the entrance door during a fire/smoke event, creating an unsafe exit condition.",,,,,,
R_A3_LR_1,Brighten My Path Living Room,A3,Turns on the living room light when motion is detected in the evening.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A3_BR_1,Bedroom Sleep Comfort,A3,Sets a comfortable bedroom temperature during sleep time when room temperature is low.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A3_ENT_1,Entrance Auto Lock When Away,A3,Locks the entrance door when the door is closed and the apartment is in Away mode.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A4_KIT_1,Kitchen Leak Shutoff,A4,Closes the kitchen water valve when a leak is detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A4_LR_1,Living Room Low Light Assist,A4,Turns on the living room floor lamp when illuminance is low in the evening.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A4_BR_1,Bedroom Weekday Morning Shade,A4,Opens the bedroom shade on weekday mornings.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A5_ENT_1,Entrance Welcome Light,A5,Turns on the entrance light when the entrance door opens in the evening while occupied.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A5_HAL_1,Hallway Smoke Safety Light,A5,"Turns on the hallway light when smoke is detected, improving visibility for safe exit.",None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A5_BR_1,Bedroom Night Plug Off,A5,Turns off the bedroom smart plug at night to reduce standby power usage.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A6_LR_1,Living Room Motion Light,A6,Turns on the living room lamp when motion is detected in the evening.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A6_KIT_1,Kitchen Kettle Off When Unoccupied,A6,Turns off the kettle smart plug when the apartment is not occupied.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A6_KIT_2,Scheduled High Load Cooking,A6,"At scheduled high-load time, turns on multiple kitchen appliances.",Physical,Conflicted,"Conflicted with R_A6_KIT_3: scheduled high-load cooking turns on heat-generating kitchen appliances, raising kitchen temperature and triggering the thermal safety rule to shut the oven off.",,,,,,
R_A6_KIT_3,Kitchen Oven Thermal Safety,A6,Turns off the oven when kitchen temperature exceeds the safety threshold.,Physical,Conflicted,"Conflicted with R_A6_KIT_2: scheduled high-load cooking turns on heat-generating kitchen appliances, raising kitchen temperature and triggering the thermal safety rule to shut the oven off.",,,,,,
R_A7_LR_1,Living Room Motion Light,A7,Turns on the living room lamp when motion is detected in the evening.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A7_BR_1,Bedroom Door Welcome Light,A7,Turns on the bedroom lamp when the bedroom door opens while the apartment is occupied.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A7_LR_2,Living Room Heating Comfort,A7,Turns on the living room heater when ambient temperature falls below the comfort threshold.,Physical,Conflicted,"Conflicted with R_A7_LR_3: the heater increases room temperature while the window opens for ventilation when temperature is high, producing an unstable heat/ventilation loop.",,,,,,
R_A7_LR_3,Living Room Ventilation Control,A7,Opens the living room smart window when ambient temperature exceeds the ventilation threshold.,Physical,Conflicted,"Conflicted with R_A7_LR_2: the heater increases room temperature while the window opens for ventilation when temperature is high, producing an unstable heat/ventilation loop.",,,,,,
R_A8_ENT_1,Entrance Presence Mirror,A8,"When entrance motion is detected, mark presence as detected.",None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A8_ENT_2,Entrance Unlock On Presence,A8,Unlocks the entrance door when presence is detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A8_LR_1,Robot Vacuum Daily Run,A8,Runs the robot vacuum for routine cleaning.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A8_LR_2,Comfort Heating On Presence,A8,Turns on heating when presence is detected during cold weather.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A9_ENT_1,Entrance Presence Mirror,A9,Marks presence as detected when entrance motion is observed.,Semantic,Conflicted,"Conflicted with R_A9_ENT_2, R_A9_LR_1: the robot vacuum can be sensed as entrance motion, causing presence detection and then unlocking the door when no real resident is present.",,,,,,
R_A9_ENT_2,Entrance Unlock On Presence,A9,Unlocks the entrance door when presence is detected during expected daytime arrival.,Semantic,Conflicted,"Conflicted with R_A9_ENT_1, R_A9_LR_1: the robot vacuum can be sensed as entrance motion, causing presence detection and then unlocking the door when no real resident is present.",,,,,,
R_A9_LR_1,Robot Vacuum Daily Run,A9,Runs the robot vacuum for routine afternoon cleaning.,Semantic,Conflicted,"Conflicted with R_A9_ENT_1, R_A9_ENT_2: the robot vacuum can be sensed as entrance motion, causing presence detection and then unlocking the door when no real resident is present.",,,,,,
R_A10_ENT_1,Entrance Welcome Light,A10,Turns on the entrance light when the front door opens in the evening.,Semantic,Conflicted,"Conflicted with R_A10_HAL_1: door entry turns on the light, which then disables the hallway camera at the same moment someone enters.",,,,,,
R_A10_HAL_1,Camera Anti-Glare Power Off,A10,Turns off the hallway security camera when the entrance light is on to reduce glare.,Semantic,Conflicted,"Conflicted with R_A10_ENT_1: door entry turns on the light, which then disables the hallway camera at the same moment someone enters.",,,,,,
R_A11_LR_1,Away Motion Alarm,A11,Triggers the alarm siren when living room motion is detected while the apartment is away.,Physical,Conflicted,"Conflicted with R_A11_LR_2: robot vacuum movement can be sensed as motion while Away mode is active, causing a false security alarm.",,,,,,
R_A11_LR_2,Robot Vacuum Daily Run,A11,Runs the robot vacuum during routine daytime cleaning.,Physical,Conflicted,"Conflicted with R_A11_LR_1: robot vacuum movement can be sensed as motion while Away mode is active, causing a false security alarm.",,,,,,
R_A12_NUR_1,Baby Sleeping Mute,A12,Mutes the nursery speaker when the baby sleeping state is active.,Semantic,Conflicted,"Conflicted with R_A12_HAL_1: baby-sleep mute can silence or undermine an audible smoke alert, violating the safety intent of emergency notification.",,,,,,
R_A12_HAL_1,Smoke Alert Announcement,A12,Uses the nursery speaker for audible smoke alerts when hallway smoke is detected.,Semantic,Conflicted,"Conflicted with R_A12_NUR_1: baby-sleep mute can silence or undermine an audible smoke alert, violating the safety intent of emergency notification.",,,,,,
R_A13_ENT_1,Entrance Presence Mirror,A13,Marks presence as detected when entrance motion is observed.,Logical,Conflicted,"Conflicted with R_A13_ENT_2, R_A13_ENT_3: presence-based unlock can conflict with away auto-lock, allowing a lock/unlock contradiction under unsafe away conditions.",,,,,,
R_A13_ENT_2,Unlock On Presence,A13,Unlocks the door when entrance presence is detected.,Logical,Conflicted,"Conflicted with R_A13_ENT_1, R_A13_ENT_3: presence-based unlock can conflict with away auto-lock, allowing a lock/unlock contradiction under unsafe away conditions.",,,,,,
R_A13_ENT_3,Away Auto Lock,A13,Keeps the entrance door locked whenever the apartment is in away mode.,Logical,Conflicted,"Conflicted with R_A13_ENT_1, R_A13_ENT_2: presence-based unlock can conflict with away auto-lock, allowing a lock/unlock contradiction under unsafe away conditions.",,,,,,
R_A14_LR_1,Air Quality Window Ventilation,A14,Opens the living room window when air quality becomes poor.,Physical,Conflicted,"Conflicted with R_A14_LR_2, R_A14_LR_3: poor air quality opens the window, changing room temperature and interacting with AC cooling/cutoff so cooling can become unstable or wasteful.",,,,,,
R_A14_LR_2,Temperature Cooling Response,A14,Turns on the living room AC when ambient temperature rises above the comfort threshold.,Physical,Conflicted,"Conflicted with R_A14_LR_1, R_A14_LR_3: poor air quality opens the window, changing room temperature and interacting with AC cooling/cutoff so cooling can become unstable or wasteful.",,,,,,
R_A14_LR_3,Open Window AC Cutoff,A14,Turns off the AC when the living room window is open to reduce energy waste.,Physical,Conflicted,"Conflicted with R_A14_LR_1, R_A14_LR_2: poor air quality opens the window, changing room temperature and interacting with AC cooling/cutoff so cooling can become unstable or wasteful.",,,,,,
R_A15_BR_1,Scheduled Warm-Up,A15,Turns on the bedroom heater during morning warm-up time.,Logical,Conflicted,"Conflicted with R_A15_BR_2, R_A15_BR_3: scheduled warm-up and auto-recover turn the heater ON, while overheat safety turns it OFF; the heater may restart after an overheat shutoff.",,,,,,
R_A15_BR_2,Overheat Safety Shutoff,A15,Turns off the heater when overheating is detected.,Logical,Conflicted,"Conflicted with R_A15_BR_1, R_A15_BR_3: scheduled warm-up and auto-recover turn the heater ON, while overheat safety turns it OFF; the heater may restart after an overheat shutoff.",,,,,,
R_A15_BR_3,Auto-Recover Heat Hold,A15,Turns the heater back on after an off event to maintain comfort.,Logical,Conflicted,"Conflicted with R_A15_BR_1, R_A15_BR_2: scheduled warm-up and auto-recover turn the heater ON, while overheat safety turns it OFF; the heater may restart after an overheat shutoff.",,,,,,
R_A16_KIT_1,Smoke Ventilation Response,A16,Turns on the kitchen exhaust fan when smoke is detected.,Logical,Conflicted,"Conflicted with R_A16_KIT_2, R_A16_KIT_3: smoke/gas safety rules turn the exhaust fan ON, while energy-saving turns the same fan OFF, creating an unsafe ON/OFF contradiction.",,,,,,
R_A16_KIT_2,Gas Leak Ventilation Response,A16,Turns on the kitchen exhaust fan when a gas leak is detected.,Logical,Conflicted,"Conflicted with R_A16_KIT_1, R_A16_KIT_3: smoke/gas safety rules turn the exhaust fan ON, while energy-saving turns the same fan OFF, creating an unsafe ON/OFF contradiction.",,,,,,
R_A16_KIT_3,Energy Saving Fan Off,A16,Turns off the kitchen exhaust fan when energy-saving mode is enabled.,Logical,Conflicted,"Conflicted with R_A16_KIT_1, R_A16_KIT_2: smoke/gas safety rules turn the exhaust fan ON, while energy-saving turns the same fan OFF, creating an unsafe ON/OFF contradiction.",,,,,,
R_A17_LR_1,Motion Light Assist,A17,Turns on the living room light when motion is detected.,Semantic,Conflicted,"Conflicted with R_A17_LR_2, R_A17_LR_3, R_A17_LR_4: motion lighting can trigger camera shutdown, and away surveillance can also conflict with privacy/anti-glare camera-off behavior, weakening monitoring intent.",,,,,,
R_A17_LR_2,Camera Anti-Glare Off,A17,Turns off the camera when the living room light is on to avoid glare.,Semantic,Conflicted,"Conflicted with R_A17_LR_1, R_A17_LR_3, R_A17_LR_4: motion lighting can trigger camera shutdown, and away surveillance can also conflict with privacy/anti-glare camera-off behavior, weakening monitoring intent.",,,,,,
R_A17_LR_3,Away Surveillance,A17,Turns on the camera while the apartment is away.,Semantic,Conflicted,"Conflicted with R_A17_LR_1, R_A17_LR_2, R_A17_LR_4: motion lighting can trigger camera shutdown, and away surveillance can also conflict with privacy/anti-glare camera-off behavior, weakening monitoring intent.",,,,,,
R_A17_LR_4,Privacy Camera Off,A17,Turns off the camera when privacy mode is active.,Semantic,Conflicted,"Conflicted with R_A17_LR_1, R_A17_LR_2, R_A17_LR_3: motion lighting can trigger camera shutdown, and away surveillance can also conflict with privacy/anti-glare camera-off behavior, weakening monitoring intent.",,,,,,
R_A18_BR_1,Bedroom Motion Light,A18,Turns on the bedroom light when motion is detected.,Logical,Conflicted,Conflicted with R_A18_BR_2: motion lighting turns the bedroom light ON while sleep-time logic keeps the same light OFF.,,,,,,
R_A18_BR_2,Sleep Time Lights Off,A18,Keeps the bedroom light off during sleep time.,Logical,Conflicted,Conflicted with R_A18_BR_1: motion lighting turns the bedroom light ON while sleep-time logic keeps the same light OFF.,,,,,,
R_A18_LR_1,Night Light Safety,A18,Turns on the living room night light when sleep time is active for safe passage.,Logical,Conflicted,Conflicted with R_A18_LR_2: night-light safety turns the light ON during sleep time while energy-saving turns the same night light OFF.,,,,,,
R_A18_LR_2,Energy Saving Night Light Off,A18,Turns off the night light when energy-saving mode is enabled.,Logical,Conflicted,Conflicted with R_A18_LR_1: night-light safety turns the light ON during sleep time while energy-saving turns the same night light OFF.,,,,,,
R_A19_ENT_1,Entrance Presence Mirror,A19,Marks presence as detected when entrance motion is observed.,Semantic,Conflicted,"Conflicted with R_A19_ENT_2, R_A19_LR_1: robot vacuum movement may be sensed as entrance motion, causing presence detection and unlocking the entrance door without a real arrival.",,,,,,
R_A19_ENT_2,Unlock On Presence,A19,Unlocks the entrance door when presence is detected during expected daytime arrival.,Semantic,Conflicted,"Conflicted with R_A19_ENT_1, R_A19_LR_1: robot vacuum movement may be sensed as entrance motion, causing presence detection and unlocking the entrance door without a real arrival.",,,,,,
R_A19_LR_1,Robot Vacuum Daily Run,A19,Runs the robot vacuum for routine cleaning.,Semantic,Conflicted,"Conflicted with R_A19_ENT_1, R_A19_ENT_2: robot vacuum movement may be sensed as entrance motion, causing presence detection and unlocking the entrance door without a real arrival.",,,,,,
R_A19_ENT_3,Entrance Welcome Light,A19,Turns on the entrance light when the door opens.,Semantic,Conflicted,"Conflicted with R_A19_HAL_1, R_A19_HAL_2: door entry turns on the entrance light, which can turn the hallway camera OFF, while away surveillance expects the camera ON.",,,,,,
R_A19_HAL_1,Camera Anti-Glare Off,A19,Turns off the hallway camera when the entrance light is on to reduce glare.,Semantic,Conflicted,"Conflicted with R_A19_ENT_3, R_A19_HAL_2: door entry turns on the entrance light, which can turn the hallway camera OFF, while away surveillance expects the camera ON.",,,,,,
R_A19_HAL_2,Away Surveillance,A19,Turns on the hallway camera while the apartment is away.,Semantic,Conflicted,"Conflicted with R_A19_ENT_3, R_A19_HAL_1: door entry turns on the entrance light, which can turn the hallway camera OFF, while away surveillance expects the camera ON.",,,,,,
R_A20_LR_1,Away Motion Alarm,A20,Triggers the alarm when motion is detected while the apartment is away.,Physical,Conflicted,"Conflicted with R_A20_LR_2: robot vacuum movement is modeled as affecting motion detection, so it can trigger the away-motion alarm and cause a false alarm.",,,,,,
R_A20_LR_2,Robot Vacuum Daily Run,A20,Runs the robot vacuum for routine cleaning.,Physical,Conflicted,Conflicted with R_A20_LR_1 and R_A20_LR_5: vacuum motion can trigger a false away alarm and can also be misread as human occupancy.,,,,,,
R_A20_LR_3,Motion Light Assist,A20,Turns on the living room light when motion is detected.,Semantic,Conflicted,"Conflicted with R_A20_LR_3, R_A20_LR_4, R_A20_LR_6: motion turns on the light, the light disables the camera, while away surveillance expects the camera to remain ON.",,,,,,
R_A20_LR_4,Camera Anti-Glare Off,A20,Turns off the camera when the light is on to reduce glare.,Semantic,Conflicted,"Conflicted with R_A20_LR_3, R_A20_LR_4, R_A20_LR_6: motion turns on the light, the light disables the camera, while away surveillance expects the camera to remain ON.",,,,,,
R_A20_LR_5,Occupancy From Motion,A20,Marks the home occupied when living room motion is detected.,Semantic,Conflicted,Conflicted with R_A20_LR_2: robot vacuum motion can mark the apartment as occupied even when no person is present.,,,,,,
R_A20_LR_6,Away Surveillance,A20,Turns on the camera while the apartment is away.,Semantic,Conflicted,"Conflicted with R_A20_LR_3, R_A20_LR_4, R_A20_LR_6: motion turns on the light, the light disables the camera, while away surveillance expects the camera to remain ON.",,,,,,
R_A21_KIT_1,Smoke Ventilation,A21,Turns on the kitchen exhaust fan if smoke is detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A21_HAL_1,Hallway Motion Light,A21,Turns on the hallway light when motion is detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A22_LR_1,Evening Living Room Light,A22,Turns on the living room lamp when motion is detected in the evening.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A22_BR_1,Bedroom Sleep Comfort,A22,Sets a comfortable bedroom temperature during sleep time when the room is cold.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A23_ENT_1,Entrance Safety Light,A23,Turns on the entrance light when motion is detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A23_BTH_1,Morning Bathroom Warm-Up,A23,Turns on the bathroom heater in the morning.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A24_BR_1,Weekday Morning Shade,A24,Opens the bedroom shade on weekday mornings.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A24_KIT_1,Kitchen Leak Shutoff,A24,Closes the kitchen water valve when a leak is detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A25_ENT_1,Entrance Welcome Light,A25,Turns on the entrance light when the door opens in the evening while occupied.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A25_HAL_1,Hallway Smoke Safety Light,A25,Turns on the hallway light when smoke is detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A26_BR_1,Bedroom Door Welcome Light,A26,Turns on the bedroom lamp when the bedroom door opens while occupied.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A26_LR_1,Living Room Heating Comfort,A26,Turns on the living room heater when ambient temperature falls below the comfort threshold.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A27_LR_1,Evening Living Room Light,A27,Turns on the living room light when motion is detected in the evening.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A27_ENT_1,Entrance Auto Lock When Away,A27,Locks the entrance door when the door is closed and the apartment is away.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A28_BR_1,Wake Up Light,A28,Turns on bedroom light when alarm clock triggers in the morning.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A28_BR_2,Wake Up Blinds Open,A28,Opens bedroom blinds when alarm clock triggers to allow natural light.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A28_BR_3,Night Blinds Close,A28,Closes bedroom blinds at night for privacy.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A29_LR_1,Cold Comfort Heater,A29,Turns on heater when temperature drops below 22 degrees.,Physical,Conflicted,,,,,,,
R_A29_LR_2,Warm Comfort AC,A29,Turns on AC when temperature rises above 24 degrees.,Physical,Conflicted,,,,,,,
R_A29_LR_3,AC With Heater Conflict,A29,Activates AC when heater is on to balance temperature - causes physical conflict where heater and AC fight each other on the EVar.,Physical,Conflicted,,,,,,,
R_A30_KT_1,Smoke Detection Fan,A30,Turns on the kitchen exhaust fan when smoke is detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A30_KT_2,Kitchen Motion Light,A30,Turns on kitchen light when motion is detected.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A30_KT_3,Smoke Alert Light,A30,Turns on kitchen light when smoke detected to aid evacuation.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
R_A31_EN_1,Auto Lock Night,A31,Locks the front door automatically at night for security.,Logical,Conflicted,,,,,,,
R_A31_EN_2,Welcome Home Unlock,A31,Unlocks the front door when user presence is detected nearby - logical conflict with auto-lock at night.,Logical,Conflicted,,,,,,,
R_A31_EN_3,Camera Active On Presence,A31,Powers on doorbell camera when presence detected.,Logical,Conflicted,,,,,,,
R_A32_BA_1,High Humidity Fan On,A32,Turns on bathroom exhaust fan when humidity exceeds 70 percent.,None,Clean,"Clean rule: no direct contradiction, unsafe semantic chain, or physical/environmental conflict was identified for this rule in the apartment.",,,,,,
